Epoch 0; train_loss: 1.311; val_loss: 1.339; train_acc: 0.466; train_f1: 0.013, val_acc: 0.425; val_f1: 0.0
Epoch 1; train_loss: 1.155; val_loss: 1.127; train_acc: 0.467; train_f1: 0.038, val_acc: 0.425; val_f1: 0.0
Epoch 2; train_loss: 1.044; val_loss: 1.01; train_acc: 0.469; train_f1: 0.061, val_acc: 0.425; val_f1: 0.0
Epoch 3; train_loss: 0.925; val_loss: 0.877; train_acc: 0.48; train_f1: 0.141, val_acc: 0.425; val_f1: 0.0
Epoch 4; train_loss: 0.856; val_loss: 0.773; train_acc: 0.483; train_f1: 0.225, val_acc: 0.483; val_f1: 0.022
Epoch 5; train_loss: 0.825; val_loss: 0.722; train_acc: 0.471; train_f1: 0.231, val_acc: 0.508; val_f1: 0.095
Epoch 6; train_loss: 0.767; val_loss: 0.724; train_acc: 0.487; train_f1: 0.308, val_acc: 0.492; val_f1: 0.232
Epoch 7; train_loss: 0.766; val_loss: 0.697; train_acc: 0.471; train_f1: 0.315, val_acc: 0.492; val_f1: 0.308
Epoch 8; train_loss: 0.745; val_loss: 0.69; train_acc: 0.474; train_f1: 0.364, val_acc: 0.508; val_f1: 0.447
Epoch 9; train_loss: 0.734; val_loss: 0.688; train_acc: 0.491; train_f1: 0.427, val_acc: 0.592; val_f1: 0.674
Epoch 10; train_loss: 0.714; val_loss: 0.69; train_acc: 0.524; train_f1: 0.478, val_acc: 0.592; val_f1: 0.643
Epoch 11; train_loss: 0.734; val_loss: 0.694; train_acc: 0.503; train_f1: 0.495, val_acc: 0.533; val_f1: 0.652
Epoch 12; train_loss: 0.724; val_loss: 0.701; train_acc: 0.506; train_f1: 0.497, val_acc: 0.517; val_f1: 0.649
Epoch 13; train_loss: 0.726; val_loss: 0.677; train_acc: 0.509; train_f1: 0.519, val_acc: 0.575; val_f1: 0.711
Epoch 14; train_loss: 0.72; val_loss: 0.676; train_acc: 0.508; train_f1: 0.521, val_acc: 0.575; val_f1: 0.696
Epoch 15; train_loss: 0.721; val_loss: 0.682; train_acc: 0.507; train_f1: 0.526, val_acc: 0.575; val_f1: 0.685
Epoch 16; train_loss: 0.708; val_loss: 0.7; train_acc: 0.53; train_f1: 0.548, val_acc: 0.517; val_f1: 0.644
Epoch 17; train_loss: 0.71; val_loss: 0.7; train_acc: 0.525; train_f1: 0.551, val_acc: 0.525; val_f1: 0.635
Epoch 18; train_loss: 0.708; val_loss: 0.677; train_acc: 0.534; train_f1: 0.56, val_acc: 0.583; val_f1: 0.646
Epoch 19; train_loss: 0.709; val_loss: 0.659; train_acc: 0.529; train_f1: 0.557, val_acc: 0.592; val_f1: 0.719
Epoch 20; train_loss: 0.706; val_loss: 0.685; train_acc: 0.544; train_f1: 0.564, val_acc: 0.542; val_f1: 0.65
Epoch 21; train_loss: 0.713; val_loss: 0.691; train_acc: 0.534; train_f1: 0.564, val_acc: 0.567; val_f1: 0.668
Epoch 22; train_loss: 0.715; val_loss: 0.673; train_acc: 0.544; train_f1: 0.56, val_acc: 0.625; val_f1: 0.73
Epoch 23; train_loss: 0.696; val_loss: 0.672; train_acc: 0.562; train_f1: 0.59, val_acc: 0.633; val_f1: 0.719
Epoch 24; train_loss: 0.693; val_loss: 0.665; train_acc: 0.553; train_f1: 0.58, val_acc: 0.625; val_f1: 0.727
Epoch 25; train_loss: 0.684; val_loss: 0.679; train_acc: 0.571; train_f1: 0.586, val_acc: 0.567; val_f1: 0.669
Epoch 26; train_loss: 0.701; val_loss: 0.667; train_acc: 0.54; train_f1: 0.578, val_acc: 0.625; val_f1: 0.732
Epoch 27; train_loss: 0.7; val_loss: 0.677; train_acc: 0.554; train_f1: 0.582, val_acc: 0.575; val_f1: 0.674
Epoch 28; train_loss: 0.699; val_loss: 0.665; train_acc: 0.552; train_f1: 0.576, val_acc: 0.633; val_f1: 0.727
Epoch 29; train_loss: 0.683; val_loss: 0.675; train_acc: 0.585; train_f1: 0.617, val_acc: 0.575; val_f1: 0.656
Epoch 30; train_loss: 0.697; val_loss: 0.645; train_acc: 0.565; train_f1: 0.599, val_acc: 0.633; val_f1: 0.729
Epoch 31; train_loss: 0.675; val_loss: 0.675; train_acc: 0.582; train_f1: 0.603, val_acc: 0.567; val_f1: 0.669
Epoch 32; train_loss: 0.687; val_loss: 0.655; train_acc: 0.575; train_f1: 0.604, val_acc: 0.625; val_f1: 0.723
Epoch 33; train_loss: 0.677; val_loss: 0.68; train_acc: 0.577; train_f1: 0.6, val_acc: 0.567; val_f1: 0.66
Epoch 34; train_loss: 0.682; val_loss: 0.67; train_acc: 0.587; train_f1: 0.614, val_acc: 0.575; val_f1: 0.666
